;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 17-Nov-15 10:26:07 PM
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0x4FFC2000  	536891388
0x0004	0x0E110000  	3601
0x0008	0x0CD10000  	3281
0x000C	0x0CD10000  	3281
0x0010	0x0CD10000  	3281
0x0014	0x0CD10000  	3281
0x0018	0x0CD10000  	3281
0x001C	0x0CD10000  	3281
0x0020	0x0CD10000  	3281
0x0024	0x0CD10000  	3281
0x0028	0x0CD10000  	3281
0x002C	0x0CD10000  	3281
0x0030	0x0CD10000  	3281
0x0034	0x0CD10000  	3281
0x0038	0x0CD10000  	3281
0x003C	0x0CD10000  	3281
0x0040	0x0CD10000  	3281
0x0044	0x0CD10000  	3281
0x0048	0x0CD10000  	3281
0x004C	0x0CD10000  	3281
0x0050	0x0CD10000  	3281
0x0054	0x0CD10000  	3281
0x0058	0x0CD10000  	3281
0x005C	0x0CD10000  	3281
0x0060	0x0CD10000  	3281
0x0064	0x0CD10000  	3281
0x0068	0x0CD10000  	3281
0x006C	0x0CD10000  	3281
0x0070	0x0CD10000  	3281
0x0074	0x0CD10000  	3281
0x0078	0x0CD10000  	3281
0x007C	0x0CD10000  	3281
0x0080	0x0CD10000  	3281
0x0084	0x0CD10000  	3281
0x0088	0x0CD90000  	3289
0x008C	0x0CD10000  	3281
0x0090	0x0CD10000  	3281
0x0094	0x0CD10000  	3281
0x0098	0x0CD10000  	3281
0x009C	0x0CD10000  	3281
0x00A0	0x0CD10000  	3281
0x00A4	0x0CD10000  	3281
0x00A8	0x0CD10000  	3281
0x00AC	0x0CD10000  	3281
0x00B0	0x0CD10000  	3281
0x00B4	0x0CD10000  	3281
0x00B8	0x0CD10000  	3281
0x00BC	0x0CD10000  	3281
0x00C0	0x0CD10000  	3281
0x00C4	0x0CD10000  	3281
0x00C8	0x0CD10000  	3281
0x00CC	0x0CD10000  	3281
0x00D0	0x0CD10000  	3281
0x00D4	0x0CD10000  	3281
0x00D8	0x0CD10000  	3281
0x00DC	0x0CD10000  	3281
0x00E0	0x0CD10000  	3281
0x00E4	0x0CD10000  	3281
0x00E8	0x0CD10000  	3281
0x00EC	0x0CD10000  	3281
0x00F0	0x0CD10000  	3281
0x00F4	0x0CD10000  	3281
0x00F8	0x0CD10000  	3281
0x00FC	0x0CD10000  	3281
0x0100	0x0CD10000  	3281
0x0104	0x0CD10000  	3281
0x0108	0x0CD10000  	3281
0x010C	0x0CD10000  	3281
0x0110	0x0CD10000  	3281
0x0114	0x0CD10000  	3281
0x0118	0x0CD10000  	3281
0x011C	0x0CD10000  	3281
0x0120	0x0CD10000  	3281
0x0124	0x0CD10000  	3281
0x0128	0x0CD10000  	3281
0x012C	0x0CD10000  	3281
; end of ____SysVT
_main:
;Ex_12.c, 36 :: 		void main()
0x0E10	0xF7FFFF86  BL	3360
0x0E14	0xF000F88A  BL	3884
0x0E18	0xF7FFFF78  BL	3340
0x0E1C	0xF000F846  BL	3756
;Ex_12.c, 38 :: 		unsigned int adc1_data = 0;
;Ex_12.c, 39 :: 		unsigned int adc2_data = 0;
;Ex_12.c, 41 :: 		setup();
0x0E20	0xF7FFFF3A  BL	_setup+0
;Ex_12.c, 43 :: 		while(1)
L_main0:
;Ex_12.c, 45 :: 		set_ADC1_regular_conversions(enable);
0x0E24	0x2101    MOVS	R1, #1
0x0E26	0x4817    LDR	R0, [PC, #92]
0x0E28	0x6001    STR	R1, [R0, #0]
;Ex_12.c, 47 :: 		adc1_data = (adc_data & 0x00000FFF);
0x0E2A	0x4B17    LDR	R3, [PC, #92]
0x0E2C	0x6819    LDR	R1, [R3, #0]
0x0E2E	0xF64070FF  MOVW	R0, #4095
0x0E32	0xEA010200  AND	R2, R1, R0, LSL #0
;Ex_12.c, 48 :: 		adc2_data = ((adc_data & 0x0FFF0000) >> 16);
0x0E36	0x4618    MOV	R0, R3
0x0E38	0x6801    LDR	R1, [R0, #0]
0x0E3A	0x4814    LDR	R0, [PC, #80]
0x0E3C	0xEA010000  AND	R0, R1, R0, LSL #0
0x0E40	0x0C00    LSRS	R0, R0, #16
; adc2_data start address is: 36 (R9)
0x0E42	0xFA1FF980  UXTH	R9, R0
;Ex_12.c, 50 :: 		lcd_print(1, 2, adc1_data);
0x0E46	0xB292    UXTH	R2, R2
0x0E48	0x2102    MOVS	R1, #2
0x0E4A	0x2001    MOVS	R0, #1
0x0E4C	0xF7FFFE96  BL	_lcd_print+0
;Ex_12.c, 51 :: 		lcd_print(13, 2, adc2_data);
0x0E50	0xFA1FF289  UXTH	R2, R9
0x0E54	0x2102    MOVS	R1, #2
0x0E56	0x200D    MOVS	R0, #13
0x0E58	0xF7FFFE90  BL	_lcd_print+0
;Ex_12.c, 53 :: 		GPIOC_pin_low(13);
0x0E5C	0x480C    LDR	R0, [PC, #48]
0x0E5E	0x6800    LDR	R0, [R0, #0]
0x0E60	0xF4405100  ORR	R1, R0, #8192
0x0E64	0x480A    LDR	R0, [PC, #40]
0x0E66	0x6001    STR	R1, [R0, #0]
;Ex_12.c, 54 :: 		delay_ms(90);
0x0E68	0xF645470F  MOVW	R7, #23567
0x0E6C	0xF2C0070C  MOVT	R7, #12
L_main2:
0x0E70	0x1E7F    SUBS	R7, R7, #1
0x0E72	0xD1FD    BNE	L_main2
0x0E74	0xBF00    NOP
0x0E76	0xBF00    NOP
0x0E78	0xBF00    NOP
0x0E7A	0xBF00    NOP
0x0E7C	0xBF00    NOP
;Ex_12.c, 55 :: 		};
0x0E7E	0xE7D1    B	L_main0
; adc2_data end address is: 36 (R9)
;Ex_12.c, 56 :: 		}
L_end_main:
L__main_end_loop:
0x0E80	0xE7FE    B	L__main_end_loop
0x0E82	0xBF00    NOP
0x0E84	0x81584224  	ADC1_CR2bits+0
0x0E88	0x00002000  	adc_data+0
0x0E8C	0x00000FFF  	#268369920
0x0E90	0x10144001  	GPIOC_BRR+0
; end of _main
___CC2DW:
;__Lib_System_101_102_103.c, 27 :: 		
0x0C84	0xB081    SUB	SP, SP, #4
;__Lib_System_101_102_103.c, 29 :: 		
L_loopDW:
;__Lib_System_101_102_103.c, 30 :: 		
0x0C86	0xF81C9B01  LDRB	R9, [R12], #1
;__Lib_System_101_102_103.c, 31 :: 		
0x0C8A	0xF80B9B01  STRB	R9, [R11], #1
;__Lib_System_101_102_103.c, 32 :: 		
0x0C8E	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_101_102_103.c, 33 :: 		
0x0C92	0xD1F8    BNE	L_loopDW
;__Lib_System_101_102_103.c, 35 :: 		
