;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 18-Mar-16 11:23:35 AM
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0x4FFC2000  	536891388
0x0004	0x13F10000  	5105
0x0008	0x138D0000  	5005
0x000C	0x138D0000  	5005
0x0010	0x138D0000  	5005
0x0014	0x138D0000  	5005
0x0018	0x138D0000  	5005
0x001C	0x138D0000  	5005
0x0020	0x138D0000  	5005
0x0024	0x138D0000  	5005
0x0028	0x138D0000  	5005
0x002C	0x138D0000  	5005
0x0030	0x138D0000  	5005
0x0034	0x138D0000  	5005
0x0038	0x138D0000  	5005
0x003C	0x138D0000  	5005
0x0040	0x138D0000  	5005
0x0044	0x138D0000  	5005
0x0048	0x138D0000  	5005
0x004C	0x13950000  	5013
0x0050	0x138D0000  	5005
0x0054	0x138D0000  	5005
0x0058	0x138D0000  	5005
0x005C	0x138D0000  	5005
0x0060	0x138D0000  	5005
0x0064	0x138D0000  	5005
0x0068	0x138D0000  	5005
0x006C	0x138D0000  	5005
0x0070	0x138D0000  	5005
0x0074	0x138D0000  	5005
0x0078	0x138D0000  	5005
0x007C	0x138D0000  	5005
0x0080	0x138D0000  	5005
0x0084	0x138D0000  	5005
0x0088	0x138D0000  	5005
0x008C	0x138D0000  	5005
0x0090	0x138D0000  	5005
0x0094	0x138D0000  	5005
0x0098	0x138D0000  	5005
0x009C	0x138D0000  	5005
0x00A0	0x138D0000  	5005
0x00A4	0x138D0000  	5005
0x00A8	0x138D0000  	5005
0x00AC	0x138D0000  	5005
0x00B0	0x138D0000  	5005
0x00B4	0x138D0000  	5005
0x00B8	0x138D0000  	5005
0x00BC	0x138D0000  	5005
0x00C0	0x138D0000  	5005
0x00C4	0x138D0000  	5005
0x00C8	0x138D0000  	5005
0x00CC	0x138D0000  	5005
0x00D0	0x138D0000  	5005
0x00D4	0x138D0000  	5005
0x00D8	0x138D0000  	5005
0x00DC	0x138D0000  	5005
0x00E0	0x138D0000  	5005
0x00E4	0x138D0000  	5005
0x00E8	0x138D0000  	5005
0x00EC	0x138D0000  	5005
0x00F0	0x138D0000  	5005
0x00F4	0x138D0000  	5005
0x00F8	0x138D0000  	5005
0x00FC	0x138D0000  	5005
0x0100	0x138D0000  	5005
0x0104	0x138D0000  	5005
0x0108	0x138D0000  	5005
0x010C	0x138D0000  	5005
0x0110	0x138D0000  	5005
0x0114	0x138D0000  	5005
0x0118	0x138D0000  	5005
0x011C	0x138D0000  	5005
0x0120	0x138D0000  	5005
0x0124	0x138D0000  	5005
0x0128	0x138D0000  	5005
0x012C	0x138D0000  	5005
; end of ____SysVT
_main:
;emrtc.c, 61 :: 		void main()
0x13F0	0xB084    SUB	SP, SP, #16
0x13F2	0xF000F879  BL	5352
0x13F6	0xF000F95D  BL	5812
0x13FA	0xF7FFFFEF  BL	5084
0x13FE	0xF000F90B  BL	5656
;emrtc.c, 63 :: 		setup_mcu();
0x1402	0xF7FFFEA1  BL	_setup_mcu+0
;emrtc.c, 65 :: 		lcd_out(1, 7, ":  :");
0x1406	0x203A    MOVS	R0, #58
0x1408	0xF88D0004  STRB	R0, [SP, #4]
0x140C	0x2020    MOVS	R0, #32
0x140E	0xF88D0005  STRB	R0, [SP, #5]
0x1412	0x2020    MOVS	R0, #32
0x1414	0xF88D0006  STRB	R0, [SP, #6]
0x1418	0x203A    MOVS	R0, #58
0x141A	0xF88D0007  STRB	R0, [SP, #7]
0x141E	0x2000    MOVS	R0, #0
0x1420	0xF88D0008  STRB	R0, [SP, #8]
0x1424	0xA801    ADD	R0, SP, #4
0x1426	0x4602    MOV	R2, R0
0x1428	0x2107    MOVS	R1, #7
0x142A	0x2001    MOVS	R0, #1
0x142C	0xF7FFFD26  BL	_Lcd_Out+0
;emrtc.c, 66 :: 		lcd_out(2, 6, "/  /");
0x1430	0x202F    MOVS	R0, #47
0x1432	0xF88D0009  STRB	R0, [SP, #9]
0x1436	0x2020    MOVS	R0, #32
0x1438	0xF88D000A  STRB	R0, [SP, #10]
0x143C	0x2020    MOVS	R0, #32
0x143E	0xF88D000B  STRB	R0, [SP, #11]
0x1442	0x202F    MOVS	R0, #47
0x1444	0xF88D000C  STRB	R0, [SP, #12]
0x1448	0x2000    MOVS	R0, #0
0x144A	0xF88D000D  STRB	R0, [SP, #13]
0x144E	0xF10D0009  ADD	R0, SP, #9
0x1452	0x4602    MOV	R2, R0
0x1454	0x2106    MOVS	R1, #6
0x1456	0x2002    MOVS	R0, #2
0x1458	0xF7FFFD10  BL	_Lcd_Out+0
;emrtc.c, 68 :: 		while(1)
L_main3:
;emrtc.c, 70 :: 		settings();
0x145C	0xF7FFFECC  BL	_settings+0
;emrtc.c, 72 :: 		if(update_time)
0x1460	0x491A    LDR	R1, [PC, #104]
0x1462	0x6808    LDR	R0, [R1, #0]
0x1464	0x2800    CMP	R0, #0
0x1466	0xD02E    BEQ	L_main5
;emrtc.c, 74 :: 		get_RTC();
0x1468	0xF7FFFDB2  BL	_get_RTC+0
;emrtc.c, 75 :: 		show_value(5, 1, cal_hour);
0x146C	0x4818    LDR	R0, [PC, #96]
0x146E	0x7800    LDRB	R0, [R0, #0]
0x1470	0xB2C2    UXTB	R2, R0
