;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 17-Nov-15 10:20:17 PM
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0x4FFC2000  	536891388
0x0004	0x0C190000  	3097
0x0008	0x0BFD0000  	3069
0x000C	0x0BFD0000  	3069
0x0010	0x0BFD0000  	3069
0x0014	0x0BFD0000  	3069
0x0018	0x0BFD0000  	3069
0x001C	0x0BFD0000  	3069
0x0020	0x0BFD0000  	3069
0x0024	0x0BFD0000  	3069
0x0028	0x0BFD0000  	3069
0x002C	0x0BFD0000  	3069
0x0030	0x0BFD0000  	3069
0x0034	0x0BFD0000  	3069
0x0038	0x0BFD0000  	3069
0x003C	0x0BFD0000  	3069
0x0040	0x0BFD0000  	3069
0x0044	0x0BFD0000  	3069
0x0048	0x0BFD0000  	3069
0x004C	0x0BFD0000  	3069
0x0050	0x0BFD0000  	3069
0x0054	0x0BFD0000  	3069
0x0058	0x0BFD0000  	3069
0x005C	0x0BFD0000  	3069
0x0060	0x0BFD0000  	3069
0x0064	0x0BFD0000  	3069
0x0068	0x0BFD0000  	3069
0x006C	0x0BFD0000  	3069
0x0070	0x0BFD0000  	3069
0x0074	0x0BFD0000  	3069
0x0078	0x0BFD0000  	3069
0x007C	0x0BFD0000  	3069
0x0080	0x0BFD0000  	3069
0x0084	0x0BFD0000  	3069
0x0088	0x0BFD0000  	3069
0x008C	0x0BFD0000  	3069
0x0090	0x0BFD0000  	3069
0x0094	0x0BFD0000  	3069
0x0098	0x0BFD0000  	3069
0x009C	0x0BFD0000  	3069
0x00A0	0x0BFD0000  	3069
0x00A4	0x0BFD0000  	3069
0x00A8	0x0BFD0000  	3069
0x00AC	0x0BFD0000  	3069
0x00B0	0x0BFD0000  	3069
0x00B4	0x0BFD0000  	3069
0x00B8	0x0BFD0000  	3069
0x00BC	0x0BFD0000  	3069
0x00C0	0x0BFD0000  	3069
0x00C4	0x0BFD0000  	3069
0x00C8	0x0BFD0000  	3069
0x00CC	0x0BFD0000  	3069
0x00D0	0x0BFD0000  	3069
0x00D4	0x0BFD0000  	3069
0x00D8	0x0BFD0000  	3069
0x00DC	0x0BFD0000  	3069
0x00E0	0x0BFD0000  	3069
0x00E4	0x0BFD0000  	3069
0x00E8	0x0BFD0000  	3069
0x00EC	0x0BFD0000  	3069
0x00F0	0x0BFD0000  	3069
0x00F4	0x0BFD0000  	3069
0x00F8	0x0BFD0000  	3069
0x00FC	0x0BFD0000  	3069
0x0100	0x0BFD0000  	3069
0x0104	0x0BFD0000  	3069
0x0108	0x0BFD0000  	3069
0x010C	0x0BFD0000  	3069
0x0110	0x0BFD0000  	3069
0x0114	0x0BFD0000  	3069
0x0118	0x0BFD0000  	3069
0x011C	0x0BFD0000  	3069
0x0120	0x0BFD0000  	3069
0x0124	0x0BFD0000  	3069
0x0128	0x0BFD0000  	3069
0x012C	0x0BFD0000  	3069
; end of ____SysVT
_main:
;EX_9.c, 20 :: 		void main()
0x0C18	0xB082    SUB	SP, SP, #8
0x0C1A	0xF000F857  BL	3276
0x0C1E	0xF000F917  BL	3664
0x0C22	0xF7FFFFEF  BL	3076
0x0C26	0xF000F8D3  BL	3536
;EX_9.c, 22 :: 		unsigned int channel_data[3] = {0x0000, 0x0000, 0x0000};
0x0C2A	0xF2400000  MOVW	R0, #0
0x0C2E	0xF8AD0000  STRH	R0, [SP, #0]
0x0C32	0xF2400000  MOVW	R0, #0
0x0C36	0xF8AD0002  STRH	R0, [SP, #2]
0x0C3A	0xF2400000  MOVW	R0, #0
0x0C3E	0xF8AD0004  STRH	R0, [SP, #4]
;EX_9.c, 24 :: 		setup();
0x0C42	0xF7FFFFB5  BL	_setup+0
;EX_9.c, 26 :: 		while(1)
L_main0:
;EX_9.c, 28 :: 		read_ADC1_injected(channel_data);
0x0C46	0xA800    ADD	R0, SP, #0
0x0C48	0xF7FFFEF6  BL	_read_ADC1_injected+0
;EX_9.c, 29 :: 		lcd_print(1, 2, channel_data[0]);
0x0C4C	0xA800    ADD	R0, SP, #0
0x0C4E	0x8800    LDRH	R0, [R0, #0]
0x0C50	0xB282    UXTH	R2, R0
0x0C52	0x2102    MOVS	R1, #2
0x0C54	0x2001    MOVS	R0, #1
0x0C56	0xF7FFFF4F  BL	_lcd_print+0
;EX_9.c, 30 :: 		lcd_print(7, 2, channel_data[1]);
0x0C5A	0xA800    ADD	R0, SP, #0
0x0C5C	0x1C80    ADDS	R0, R0, #2
0x0C5E	0x8800    LDRH	R0, [R0, #0]
0x0C60	0xB282    UXTH	R2, R0
0x0C62	0x2102    MOVS	R1, #2
0x0C64	0x2007    MOVS	R0, #7
0x0C66	0xF7FFFF47  BL	_lcd_print+0
;EX_9.c, 31 :: 		lcd_print(13, 2, channel_data[2]);
0x0C6A	0xA800    ADD	R0, SP, #0
0x0C6C	0x1D00    ADDS	R0, R0, #4
0x0C6E	0x8800    LDRH	R0, [R0, #0]
0x0C70	0xB282    UXTH	R2, R0
0x0C72	0x2102    MOVS	R1, #2
0x0C74	0x200D    MOVS	R0, #13
0x0C76	0xF7FFFF3F  BL	_lcd_print+0
;EX_9.c, 33 :: 		GPIOC_pin_high(13);
0x0C7A	0x4812    LDR	R0, [PC, #72]
0x0C7C	0x6800    LDR	R0, [R0, #0]
0x0C7E	0xF4405100  ORR	R1, R0, #8192
0x0C82	0x4810    LDR	R0, [PC, #64]
0x0C84	0x6001    STR	R1, [R0, #0]
;EX_9.c, 34 :: 		delay_ms(10);
0x0C86	0xF645778F  MOVW	R7, #24463
0x0C8A	0xF2C00701  MOVT	R7, #1
0x0C8E	0xBF00    NOP
0x0C90	0xBF00    NOP
L_main2:
0x0C92	0x1E7F    SUBS	R7, R7, #1
0x0C94	0xD1FD    BNE	L_main2
0x0C96	0xBF00    NOP
0x0C98	0xBF00    NOP
0x0C9A	0xBF00    NOP
;EX_9.c, 35 :: 		GPIOC_pin_low(13);
0x0C9C	0x480A    LDR	R0, [PC, #40]
0x0C9E	0x6800    LDR	R0, [R0, #0]
0x0CA0	0xF4405100  ORR	R1, R0, #8192
0x0CA4	0x4808    LDR	R0, [PC, #32]
0x0CA6	0x6001    STR	R1, [R0, #0]
;EX_9.c, 36 :: 		delay_ms(90);
0x0CA8	0xF645470F  MOVW	R7, #23567
0x0CAC	0xF2C0070C  MOVT	R7, #12
L_main4:
0x0CB0	0x1E7F    SUBS	R7, R7, #1
0x0CB2	0xD1FD    BNE	L_main4
0x0CB4	0xBF00    NOP
0x0CB6	0xBF00    NOP
0x0CB8	0xBF00    NOP
0x0CBA	0xBF00    NOP
0x0CBC	0xBF00    NOP
;EX_9.c, 37 :: 		};
0x0CBE	0xE7C2    B	L_main0
;EX_9.c, 38 :: 		}
L_end_main:
L__main_end_loop:
0x0CC0	0xE7FE    B	L__main_end_loop
0x0CC2	0xBF00    NOP
0x0CC4	0x10104001  	GPIOC_BSRR+0
0x0CC8	0x10144001  	GPIOC_BRR+0
; end of _main
___CC2DW:
;__Lib_System_101_102_103.c, 27 :: 		
0x0BE8	0xB081    SUB	SP, SP, #4
;__Lib_System_101_102_103.c, 29 :: 		
L_loopDW:
;__Lib_System_101_102_103.c, 30 :: 		
0x0BEA	0xF81C9B01  LDRB	R9, [R12], #1
;__Lib_System_101_102_103.c, 31 :: 		
0x0BEE	0xF80B9B01  STRB	R9, [R11], #1
;__Lib_System_101_102_103.c, 32 :: 		
0x0BF2	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_101_102_103.c, 33 :: 		
0x0BF6	0xD1F8    BNE	L_loopDW
;__Lib_System_101_102_103.c, 35 :: 		
L_end___CC2DW:
0x0BF8	0xB001    ADD	SP, SP, #4
0x0BFA	0x4770    BX	LR
; end of ___CC2DW
___FillZeros:
;__Lib_System_101_102_103.c, 69 :: 		
0x0B74	0xB081    SUB	SP, SP, #4
;__Lib_System_101_102_103.c, 71 :: 		
0x0B76	0xF04F0900  MOV	R9, #0
;__Lib_System_101_102_103.c, 72 :: 		
0x0B7A	0xF04F0C00  MOV	R12, #0
;__Lib_System_101_102_103.c, 73 :: 		
0x0B7E	0xEBBD0F0A  CMP	SP, R10, LSL #0
;__Lib_System_101_102_103.c, 74 :: 		
0x0B82	0xDC04    BGT	L_loopFZs
;__Lib_System_101_102_103.c, 75 :: 		
0x0B84	0xEBBD0F0B  CMP	SP, R11, LSL #0
;__Lib_System_101_102_103.c, 76 :: 		
0x0B88	0xDB01    BLT	L_loopFZs
;__Lib_System_101_102_103.c, 77 :: 		
0x0B8A	0x46D4    MOV	R12, R10
;__Lib_System_101_102_103.c, 78 :: 		
0x0B8C	0x46EA    MOV	R10, SP
;__Lib_System_101_102_103.c, 79 :: 		
L_loopFZs:
;__Lib_System_101_102_103.c, 80 :: 		
0x0B8E	0xF84B9B04  STR	R9, [R11], #4
;__Lib_System_101_102_103.c, 81 :: 		
0x0B92	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_101_102_103.c, 82 :: 		
0x0B96	0xD1FA    BNE	L_loopFZs
;__Lib_System_101_102_103.c, 83 :: 		
0x0B98	0xEBBC0F0A  CMP	R12, R10, LSL #0
;__Lib_System_101_102_103.c, 84 :: 		
0x0B9C	0xDD05    BLE	L_norep
;__Lib_System_101_102_103.c, 85 :: 		
0x0B9E	0x46E2    MOV	R10, R12
;__Lib_System_101_102_103.c, 86 :: 		
0x0BA0	0xF8D9B000  LDR	R11, [R9, #0]
;__Lib_System_101_102_103.c, 87 :: 		
0x0BA4	0xF10B0B04  ADD	R11, R11, #4
;__Lib_System_101_102_103.c, 88 :: 		
0x0BA8	0xE7F1    B	L_loopFZs
;__Lib_System_101_102_103.c, 89 :: 		
L_norep:
;__Lib_System_101_102_103.c, 91 :: 		
L_end___FillZeros:
0x0BAA	0xB001    ADD	SP, SP, #4
0x0BAC	0x4770    BX	LR
; end of ___FillZeros
_setup:
;EX_9.c, 41 :: 		void setup()
0x0BB0	0xB081    SUB	SP, SP, #4
0x0BB2	0xF8CDE000  STR	LR, [SP, #0]
;EX_9.c, 43 :: 		GPIO_init();
0x0BB6	0xF7FFFD0B  BL	_GPIO_init+0
;EX_9.c, 44 :: 		ADC_init();
0x0BBA	0xF7FFFD49  BL	_ADC_init+0
;EX_9.c, 45 :: 		LCD_Init();
0x0BBE	0xF7FFFE15  BL	_Lcd_Init+0
;EX_9.c, 47 :: 		LCD_Cmd(_LCD_CLEAR);
0x0BC2	0x2001    MOVS	R0, #1
