;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 17-Nov-15 10:23:29 PM
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0x4FFC2000  	536891388
0x0004	0x0F210000  	3873
0x0008	0x0CF10000  	3313
0x000C	0x0CF10000  	3313
0x0010	0x0CF10000  	3313
0x0014	0x0CF10000  	3313
0x0018	0x0CF10000  	3313
0x001C	0x0CF10000  	3313
0x0020	0x0CF10000  	3313
0x0024	0x0CF10000  	3313
0x0028	0x0CF10000  	3313
0x002C	0x0CF10000  	3313
0x0030	0x0CF10000  	3313
0x0034	0x0CF10000  	3313
0x0038	0x0CF10000  	3313
0x003C	0x0CF10000  	3313
0x0040	0x0CF10000  	3313
0x0044	0x0CF10000  	3313
0x0048	0x0CF10000  	3313
0x004C	0x0CF10000  	3313
0x0050	0x0CF10000  	3313
0x0054	0x0CF10000  	3313
0x0058	0x0CF10000  	3313
0x005C	0x0CF10000  	3313
0x0060	0x0CF10000  	3313
0x0064	0x0CF10000  	3313
0x0068	0x0CF10000  	3313
0x006C	0x0CF10000  	3313
0x0070	0x0CF10000  	3313
0x0074	0x0CF10000  	3313
0x0078	0x0CF10000  	3313
0x007C	0x0CF10000  	3313
0x0080	0x0CF10000  	3313
0x0084	0x0CF10000  	3313
0x0088	0x0DE10000  	3553
0x008C	0x0CF10000  	3313
0x0090	0x0CF10000  	3313
0x0094	0x0CF10000  	3313
0x0098	0x0CF10000  	3313
0x009C	0x0CF10000  	3313
0x00A0	0x0CF10000  	3313
0x00A4	0x0CF10000  	3313
0x00A8	0x0CF10000  	3313
0x00AC	0x0CF10000  	3313
0x00B0	0x0CF10000  	3313
0x00B4	0x0CF10000  	3313
0x00B8	0x0CF10000  	3313
0x00BC	0x0CF10000  	3313
0x00C0	0x0CF10000  	3313
0x00C4	0x0CF10000  	3313
0x00C8	0x0CF10000  	3313
0x00CC	0x0CF10000  	3313
0x00D0	0x0CF10000  	3313
0x00D4	0x0CF10000  	3313
0x00D8	0x0CF10000  	3313
0x00DC	0x0CF10000  	3313
0x00E0	0x0CF90000  	3321
0x00E4	0x0CF10000  	3313
0x00E8	0x0CF10000  	3313
0x00EC	0x0CF10000  	3313
0x00F0	0x0CF10000  	3313
0x00F4	0x0CF10000  	3313
0x00F8	0x0CF10000  	3313
0x00FC	0x0CF10000  	3313
0x0100	0x0CF10000  	3313
0x0104	0x0CF10000  	3313
0x0108	0x0CF10000  	3313
0x010C	0x0CF10000  	3313
0x0110	0x0CF10000  	3313
0x0114	0x0CF10000  	3313
0x0118	0x0CF10000  	3313
0x011C	0x0CF10000  	3313
0x0120	0x0CF10000  	3313
0x0124	0x0CF10000  	3313
0x0128	0x0CF10000  	3313
0x012C	0x0CF10000  	3313
; end of ____SysVT
_main:
;Ex_13.c, 75 :: 		void main()
0x0F20	0xF7FFFF86  BL	3632
0x0F24	0xF000F86E  BL	4100
0x0F28	0xF000F818  BL	3932
0x0F2C	0xF000F82A  BL	3972
;Ex_13.c, 77 :: 		setup();
0x0F30	0xF7FFFEAE  BL	_setup+0
;Ex_13.c, 79 :: 		while(1)
L_main18:
;Ex_13.c, 81 :: 		lcd_print(2, 2, regular_adc_data);
0x0F34	0x4807    LDR	R0, [PC, #28]
0x0F36	0x8800    LDRH	R0, [R0, #0]
0x0F38	0xB282    UXTH	R2, R0
0x0F3A	0x2102    MOVS	R1, #2
0x0F3C	0x2002    MOVS	R0, #2
0x0F3E	0xF7FFFE4B  BL	_lcd_print+0
;Ex_13.c, 82 :: 		lcd_print(12, 2, injected_adc_data);
0x0F42	0x4805    LDR	R0, [PC, #20]
0x0F44	0x8800    LDRH	R0, [R0, #0]
0x0F46	0xB282    UXTH	R2, R0
0x0F48	0x2102    MOVS	R1, #2
0x0F4A	0x200C    MOVS	R0, #12
0x0F4C	0xF7FFFE44  BL	_lcd_print+0
;Ex_13.c, 83 :: 		};
0x0F50	0xE7F0    B	L_main18
;Ex_13.c, 84 :: 		}
L_end_main:
L__main_end_loop:
0x0F52	0xE7FE    B	L__main_end_loop
0x0F54	0x000E2000  	regular_adc_data+0
0x0F58	0x00102000  	injected_adc_data+0
; end of _main
___CC2DW:
;__Lib_System_101_102_103.c, 27 :: 		
0x0CDC	0xB081    SUB	SP, SP, #4
;__Lib_System_101_102_103.c, 29 :: 		
L_loopDW:
;__Lib_System_101_102_103.c, 30 :: 		
0x0CDE	0xF81C9B01  LDRB	R9, [R12], #1
;__Lib_System_101_102_103.c, 31 :: 		
0x0CE2	0xF80B9B01  STRB	R9, [R11], #1
;__Lib_System_101_102_103.c, 32 :: 		
0x0CE6	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_101_102_103.c, 33 :: 		
0x0CEA	0xD1F8    BNE	L_loopDW
;__Lib_System_101_102_103.c, 35 :: 		
L_end___CC2DW:
0x0CEC	0xB001    ADD	SP, SP, #4
0x0CEE	0x4770    BX	LR
; end of ___CC2DW
___FillZeros:
;__Lib_System_101_102_103.c, 69 :: 		
0x0C54	0xB081    SUB	SP, SP, #4
;__Lib_System_101_102_103.c, 71 :: 		
0x0C56	0xF04F0900  MOV	R9, #0
;__Lib_System_101_102_103.c, 72 :: 		
0x0C5A	0xF04F0C00  MOV	R12, #0
;__Lib_System_101_102_103.c, 73 :: 		
0x0C5E	0xEBBD0F0A  CMP	SP, R10, LSL #0
